District,Block,Gram Panchayat,Village,Habitation,New Location,PWS Scheme Code,PWS Scheme Name,Latitude,Longitude,Sample Id,Fluoride (mg/l)in TW water sample ,Total Coliform (CFU/100ml) in TW water sample 
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.0839519,86.4596672,2070360,0.453,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.0823061,86.4598984,2070364,0.452,0
PURULIA,PARA,BAHARA,BAHARA,BAHARA,NO,,,23.55504,86.40101,2050299,0.45,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.080955,86.4612303,2070363,0.432,0
PURULIA,JHALDA - I,NAYADIH,BIRUDI,HERT KULI,NO,,,23.31677,85.89956,1020460,0.43,2
PURULIA,PUNCHA,JAMBAD,BANSA,KULDI,NO,,,23.1666177,86.5801943,0280618,0.43,0
PURULIA,PUNCHA,JAMBAD,BANSA,BANSATOLA GUGUITAR,NO,,,23.1777656,86.5933053,0280603,0.42,0
PURULIA,BUNDWAN,BANDWAN,BANDOAN,BANDWAN,NO,,,22.8753908,86.5063835,290308,0.41,0
PURULIA,PARA,NADIHA SURULIA,NADIHA,NODIHA,NO,,,23.4920021,86.4089948,2050281,0.4,0
PURULIA,PARA,BAHARA,BAHARA,BAHARA,NO,,,23.5587291,86.3980491,2050294,0.37,0
PURULIA,PARA,BAHARA,FATEPUR,FATEPUR,NO,,,23.5618882,86.3966,2050290,0.36,0
PURULIA,PUNCHA,JAMBAD,BANSA,JYOTIYADHAR,NO,,,23.1619842,86.592527,0280608,0.36,0
PURULIA,PARA,BAHARA,FATEPUR,FATEPUR,NO,,,23.5570533,86.3967117,2050295,0.34,0
PURULIA,PUNCHA,JAMBAD,BANSA,BANSATOLA GUGUITAR,NO,,,23.1750267,86.588795,0280602,0.34,0
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.1253617,86.4585928,2070351,0.337,0
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.1238964,86.4609952,2070349,0.334,0
PURULIA,PARA,NADIHA SURULIA,NADIHA,NODIHA,NO,,,23.4962483,86.407535,2050279,0.33,0
PURULIA,PARA,BAHARA,BAHARA,BAHARA,NO,,,23.5604733,86.399355,2050292,0.33,0
PURULIA,PUNCHA,JAMBAD,BANSA,JYOTIYADHAR,NO,,,23.163384,86.5933978,0280609,0.33,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.0838871,86.4592164,2070361,0.327,0
PURULIA,BUNDWAN,BANDWAN,BANDOAN,BANDWAN,NO,,,22.8743667,86.5054933,290304,0.32,0
PURULIA,PUNCHA,JAMBAD,MAHESHPUR,MAHESHPUR,NO,,,23.196093,86.5885915,0280614,0.32,0
PURULIA,PARA,BAHARA,FATEPUR,FATEPUR,NO,,,23.561465,86.3990999,2050289,0.31,0
PURULIA,JHALDA - I,NAYADIH,BIRUDI,BIRUDI,NO,,,23.317695,85.9009433,1020459,0.3,0
PURULIA,JHALDA - I,NAYADIH,BIRUDI,BIRUDI,NO,,,23.3183567,85.9033059,1020455,0.3,3
PURULIA,JHALDA - I,NAYADIH,BIRUDI,BIRUDI,NO,,,23.3148567,85.9039617,1020454,0.3,0
PURULIA,BUNDWAN,BANDWAN,BANDOAN,BANDWAN,NO,,,22.8739428,86.5069526,290306,0.3,0
